Rate,Effect,Noise_T,Noise_U,Size,C_Type,T_AUC,U_AUC,AVG_AUC,S_Type,AUC
0.8,0.12,0.15,0.15,0,PerfectClassifier,0.925411273195,0.920949053178,0.923180163187,TargetMostLikely,0.508941118813
0.8,0.12,0.15,0.15,0,PerfectClassifier,0.925411273195,0.920949053178,0.923180163187,TargetMaxTreatment,0.865998276332
0.8,0.12,0.2,0.2,0,PerfectClassifier,0.904839765961,0.906721792264,0.905780779112,TargetLeastLikely,0.845804828951
0.8,0.12,0.2,0.2,0,PerfectClassifier,0.904839765961,0.906721792264,0.905780779112,TargetMostLikely,0.499135695693
0.8,0.12,0.2,0.2,0,PerfectClassifier,0.904839765961,0.906721792264,0.905780779112,TargetMaxTreatment,0.844857584673
0.8,0.12,0.25,0.25,0,PerfectClassifier,0.856486105586,0.876583793043,0.866534949314,TargetLeastLikely,0.817844023954
0.8,0.12,0.25,0.25,0,PerfectClassifier,0.856486105586,0.876583793043,0.866534949314,TargetMostLikely,0.485723546117
0.8,0.12,0.25,0.25,0,PerfectClassifier,0.856486105586,0.876583793043,0.866534949314,TargetMaxTreatment,0.803492811613
0.8,0.12,0.3,0.3,0,PerfectClassifier,0.844333182657,0.846060386282,0.845196784469,TargetLeastLikely,0.792680808363
0.8,0.12,0.3,0.3,0,PerfectClassifier,0.844333182657,0.846060386282,0.845196784469,TargetMostLikely,0.477176903026
0.8,0.12,0.3,0.3,0,PerfectClassifier,0.844333182657,0.846060386282,0.845196784469,TargetMaxTreatment,0.769789565502
0.8,0.12,0.35,0.35,0,PerfectClassifier,0.816762160944,0.829689822281,0.823225991613,TargetLeastLikely,0.775781672172
0.8,0.12,0.35,0.35,0,PerfectClassifier,0.816762160944,0.829689822281,0.823225991613,TargetMostLikely,0.474904538834
0.8,0.12,0.35,0.35,0,PerfectClassifier,0.816762160944,0.829689822281,0.823225991613,TargetMaxTreatment,0.750621794849
0.8,0.12,0.4,0.4,0,PerfectClassifier,0.794044224882,0.795890544348,0.794967384615,TargetLeastLikely,0.743235611753
0.8,0.12,0.4,0.4,0,PerfectClassifier,0.794044224882,0.795890544348,0.794967384615,TargetMostLikely,0.477875635919
0.8,0.12,0.4,0.4,0,PerfectClassifier,0.794044224882,0.795890544348,0.794967384615,TargetMaxTreatment,0.721052700485
0.8,0.12,0.45,0.45,0,PerfectClassifier,0.783632762371,0.77191677241,0.777774767391,TargetLeastLikely,0.725562300592
0.8,0.12,0.45,0.45,0,PerfectClassifier,0.783632762371,0.77191677241,0.777774767391,TargetMostLikely,0.471863148255
0.8,0.12,0.45,0.45,0,PerfectClassifier,0.783632762371,0.77191677241,0.777774767391,TargetMaxTreatment,0.697415441712
0.8,0.12,0.5,0.5,0,PerfectClassifier,0.746827501817,0.74812243177,0.747474966793,TargetLeastLikely,0.703371810221
0.8,0.12,0.5,0.5,0,PerfectClassifier,0.746827501817,0.74812243177,0.747474966793,TargetMostLikely,0.475500990794
0.8,0.12,0.5,0.5,0,PerfectClassifier,0.746827501817,0.74812243177,0.747474966793,TargetMaxTreatment,0.678822601645
0.8,0.12,0.55,0.55,0,PerfectClassifier,0.741828827555,0.720585936801,0.731207382178,TargetLeastLikely,0.677697653376
0.8,0.12,0.55,0.55,0,PerfectClassifier,0.741828827555,0.720585936801,0.731207382178,TargetMostLikely,0.47780458542
0.8,0.12,0.55,0.55,0,PerfectClassifier,0.741828827555,0.720585936801,0.731207382178,TargetMaxTreatment,0.655456862831
0.8,0.12,0.6,0.6,0,PerfectClassifier,0.692095469144,0.702158249258,0.697126859201,TargetLeastLikely,0.670724013924
0.8,0.12,0.6,0.6,0,PerfectClassifier,0.692095469144,0.702158249258,0.697126859201,TargetMostLikely,0.466602406655
0.8,0.12,0.6,0.6,0,PerfectClassifier,0.692095469144,0.702158249258,0.697126859201,TargetMaxTreatment,0.637324285694
0.8,0.12,0.65,0.65,0,PerfectClassifier,0.684524771134,0.668920593101,0.676722682117,TargetLeastLikely,0.635537013817
0.8,0.12,0.65,0.65,0,PerfectClassifier,0.684524771134,0.668920593101,0.676722682117,TargetMostLikely,0.471860589517
0.8,0.12,0.65,0.65,0,PerfectClassifier,0.684524771134,0.668920593101,0.676722682117,TargetMaxTreatment,0.607361551864
0.8,0.12,0.7,0.7,0,PerfectClassifier,0.656757447788,0.65522597935,0.655991713569,TargetLeastLikely,0.628392700861
0.8,0.12,0.7,0.7,0,PerfectClassifier,0.656757447788,0.65522597935,0.655991713569,TargetMostLikely,0.474640361785
0.8,0.12,0.7,0.7,0,PerfectClassifier,0.656757447788,0.65522597935,0.655991713569,TargetMaxTreatment,0.602997914104
0.8,0.12,0.75,0.75,0,PerfectClassifier,0.618027008783,0.615067192501,0.616547100642,TargetLeastLikely,0.595836893661
0.8,0.12,0.75,0.75,0,PerfectClassifier,0.618027008783,0.615067192501,0.616547100642,TargetMostLikely,0.477772283487
0.8,0.12,0.75,0.75,0,PerfectClassifier,0.618027008783,0.615067192501,0.616547100642,TargetMaxTreatment,0.5736200494
0.8,0.12,0.8,0.8,0,PerfectClassifier,0.585859629658,0.597037952296,0.591448790977,TargetLeastLikely,0.58241406755
0.8,0.12,0.8,0.8,0,PerfectClassifier,0.585859629658,0.597037952296,0.591448790977,TargetMostLikely,0.475608094524
